Size,Total_PCS,Percentage
1.00,13083726.11,89.38731199316888
2.00,911610.89,6.228076494089828
3.00,258841.15,1.7683887936202465
4.00,146438.7,1.0004613100827178
6.00,88884.35,0.6072530912036969
5.00,84321.55,0.5760802873912796
8.00,24981.0,0.1706688463307607
7.00,6584.0,0.044981533335003744
l,4754.0,0.032479071912911266
m,4353.0,0.02973946151386259
xl,4203.0,0.028714669594018943
xxl,3252.0,0.022217488822210234
s,3140.0,0.021452310855393644
10.00,2842.0,0.019416390907970937
xxxl,2100.0,0.014347086877811036
15.00,1845.0,0.012604940614076838
9.00,1349.0,0.009216295332460519
12.00,1071.0,0.007317014307683629
xs,960.0,0.006558668286999331
free,877.0,0.00599161675801918
11.00,584.0,0.0039898565412579265
5xl,119.0,0.0008130015897426253
6xl,111.0,0.0007583460206842977
4xl,103.0,0.0007036904516259699
s to xxl,45.0,0.0003074375759530936
600.00,10.0,6.831946132290969e-05
698.00,10.0,6.831946132290969e-05
1000.00,2.0,1.3663892264581938e-05
pcs,0.0,0.0
