Style,Avg_Rate,Avg_Gross_Amt,Total_PCS,Category
shipping charges,6755.0,0.0,13510.0,Top by Avg Rate
shipping,5521.492125984252,0.0,2804918.0,Top by Avg Rate
tags,5183.333333333333,0.0,8580.0,Top by Avg Rate
tags(labour),4955.0,0.0,3920.0,Top by Avg Rate
sar086,2798.375,1846.5,3811.5,Top by Avg Rate
sar079,2798.375,1846.5,3811.5,Top by Avg Rate
j0057,2292.875,1960.75,2693.0,Top by Avg Rate
jan8641,2248.0,4215.0,1139.0,Top by Avg Rate
j0277,2191.334188034188,1420.5213675213674,93398.1,Top by Avg Rate
j0245,2088.93,1739.325,7048.099999999999,Top by Avg Rate
jan8622,1949.0,9745.0,5.0,Top by Avg Gross Amount
jan8612,1799.0,8995.0,5.0,Top by Avg Gross Amount
jan8660,1724.0,8620.0,5.0,Top by Avg Gross Amount
jan8685,1499.0,7495.0,5.0,Top by Avg Gross Amount
jan8661,1424.0,7120.0,5.0,Top by Avg Gross Amount
jan8618,974.0,4870.0,5.0,Top by Avg Gross Amount
jan8641,2248.0,4215.0,1139.0,Top by Avg Gross Amount
jne3846,374.0,2561.6,35.0,Top by Avg Gross Amount
jne3839,374.0,2364.0,45.0,Top by Avg Gross Amount
jne3840,374.0,2364.0,45.0,Top by Avg Gross Amount
