Style,Total_PCS
style,0.0
jne3891,1.0
jne3893,1.0
jne3799,1.0
set369,1.0
j0413,1.0
set364,1.0
j0419,1.0
jne3902,1.0
pset058,1.0
jne3862,2.0
jne3892,2.0
jne3894,2.0
jne3895,2.0
tag printing,2.0
j0416,2.0
set401,2.0
j0340,2.0
set404,2.0
set433,3.0
set361,3.0
jne3801,3.0
jne3810,3.0
j0390,4.0
jne3865,4.0
pjne3607,4.0
j0391,4.0
jne3905,4.0
set360,4.0
jne3881,5.0
jne3869,5.0
jne3857,5.0
j0106,5.0
jan8622,5.0
jan8623,5.0
j0216,5.0
jan8660,5.0
jan8661,5.0
jan8685,5.0
j0355,5.0
jan8618,5.0
jan8612,5.0
j0400,6.0
jne3866,7.0
set299,7.0
set359,8.0
jne3829,10.0
jne3850,10.0
j0402,11.0
set377,11.0
jne3831,15.0
j0414,15.0
jne3858,15.0
jne3843,15.0
jne3851,20.0
jne3847,20.0
jne3832,20.0
jne3852,30.0
jne3845,35.0
jne3846,35.0
jne3826,35.0
jne3855,36.0
jne3844,40.0
jne3830,40.0
jne3827,40.0
jne3828,45.0
jne3839,45.0
jne3840,45.0
jne3848,45.0
